300: ftp://ftp.kymartian.ky.gov/kyaped/LAZ/
200: filename content-length last-modified file-type
201: "N021E284.laz" 26045566 Mon%2C%2004%20Aug%202014%2010%3A09%3A00%20GMT FILE 
201: "N021E285.laz" 25715264 Mon%2C%2004%20Aug%202014%2010%3A11%3A00%20GMT FILE 
201: "N021E286.laz" 25576060 Mon%2C%2004%20Aug%202014%2010%3A12%3A00%20GMT FILE 
201: "N021E287.laz" 26809840 Mon%2C%2004%20Aug%202014%2010%3A12%3A00%20GMT FILE 
201: "N021E288.laz" 23510339 Mon%2C%2004%20Aug%202014%2010%3A13%3A00%20GMT FILE 
201: "N021E289.laz" 23832551 Mon%2C%2004%20Aug%202014%2010%3A13%3A00%20GMT FILE 
201: "N021E290.laz" 24346056 Mon%2C%2004%20Aug%202014%2010%3A14%3A00%20GMT FILE 
201: "N021E291.laz" 22518977 Mon%2C%2004%20Aug%202014%2010%3A14%3A00%20GMT FILE 
201: "N021E292.laz" 21882618 Mon%2C%2004%20Aug%202014%2010%3A15%3A00%20GMT FILE 
201: "N021E293.laz" 37963323 Mon%2C%2004%20Aug%202014%2010%3A15%3A00%20GMT FILE 
201: "N021E294.laz" 46982947 Mon%2C%2004%20Aug%202014%2010%3A17%3A00%20GMT FILE 
201: "N021E295.laz" 44718464 Mon%2C%2004%20Aug%202014%2010%3A17%3A00%20GMT FILE 
201: "N021E296.laz" 48881173 Mon%2C%2004%20Aug%202014%2010%3A18%3A00%20GMT FILE 
201: "N021E297.laz" 65243097 Mon%2C%2004%20Aug%202014%2010%3A19%3A00%20GMT FILE 
201: "N021E298.laz" 56361269 Mon%2C%2004%20Aug%202014%2010%3A20%3A00%20GMT FILE 
201: "N021E299.laz" 73805942 Mon%2C%2004%20Aug%202014%2010%3A21%3A00%20GMT FILE 
201: "N021E300.laz" 50762772 Mon%2C%2004%20Aug%202014%2010%3A22%3A00%20GMT FILE 
201: "N021E301.laz" 58941088 Mon%2C%2004%20Aug%202014%2010%3A23%3A00%20GMT FILE 
201: "N021E302.laz" 60820806 Mon%2C%2004%20Aug%202014%2010%3A24%3A00%20GMT FILE 
201: "N021E303.laz" 49739471 Mon%2C%2004%20Aug%202014%2010%3A25%3A00%20GMT FILE 
201: "N021E304.laz" 57984969 Mon%2C%2004%20Aug%202014%2010%3A26%3A00%20GMT FILE 
201: "N021E305.laz" 61295293 Mon%2C%2004%20Aug%202014%2010%3A27%3A00%20GMT FILE 
201: "N021E306.laz" 70022539 Mon%2C%2004%20Aug%202014%2010%3A29%3A00%20GMT FILE 
201: "N021E307.laz" 73234212 Mon%2C%2004%20Aug%202014%2010%3A30%3A00%20GMT FILE 
201: "N021E308.laz" 64323895 Mon%2C%2004%20Aug%202014%2010%3A31%3A00%20GMT FILE 
201: "N021E309.laz" 63542199 Mon%2C%2004%20Aug%202014%2010%3A33%3A00%20GMT FILE 
201: "N021E310.laz" 54835578 Mon%2C%2004%20Aug%202014%2010%3A34%3A00%20GMT FILE 
201: "N021E311.laz" 20993504 Mon%2C%2004%20Aug%202014%2010%3A34%3A00%20GMT FILE 
201: "N022E280.laz" 10274511 Mon%2C%2004%20Aug%202014%2010%3A35%3A00%20GMT FILE 
201: "N022E281.laz" 21683012 Mon%2C%2004%20Aug%202014%2010%3A35%3A00%20GMT FILE 
